title,author,ratings,reviews
"The Unpublished Poetry of Charles Wesley: Hymns and Poems on Holy Scripture (Wesley, Charles//Unpublished Poetry of Charles Wesley)",Charles Wesley,5.0,2
The Unpublished Poetry of Charles Wesley Volume I,Charles Wesley,4.0,2
Orthodox and Wesleyan Scriptural Understanding and Practice,S.T. Kimbrough Jr.,4.5,2
Psalms for Praise and Worship,John C. Holbert,0.0,0
Female Offenders: An Annotated Bibliography,Beverly R. Fletcher,0.0,0
Organization Transformation Theorists and Practitioners: Profiles and Themes,Beverly R. Fletcher,0.0,0
Apple Dumplin's Day,Monique Z. Stephens,3.6,5
Mad Eagle,Robert Lawrence Holt,0.0,0
Ride Western Style: A Guide for Young Riders,Tommie Kirksmith,0.0,0
October Sky,Homer Hickam,4.22,16298
Sky of Stone: A Memoir,Homer Hickam,4.29,954
Isaac D'israeli On Books: Pre Victorian Essays On The History Of Literature,Isaac D'Israeli,5.0,2
Wolf Vostell: Disasters of Peace,Wolf Vostell,3.0,1
Vostell Automobile,Wolf Vostell,4.0,1
Feed My Dear Dogs,Emma Richler,3.62,48
Sister Crazy,Emma Richler,3.29,150
"The Castaways (Curse of the Jolly Stone, #3)",Iain Lawrence,3.8,155
"The Cannibals (The Curse of the Jolly Stone Trilogy, Book II)",Iain Lawrence,3.8,187
"The Convicts (The Curse of the Jolly Stone Trilogy, Book I)",Iain Lawrence,3.59,449
"The Cannibals (Curse of the Jolly Stone, #2)",Iain Lawrence,3.8,187
Far-Away Places: 50 Anchorages on the Northwest Coast,Iain Lawrence,3.5,2
A History of Women Photographers,Naomi Rosenblum,4.12,97
Seeing Straight: The F-64 Revolution in Photography,Mary Street Alinder,0.0,0
Doctor Jazz,Hayden Carruth,3.97,34
Cliffs Test Prep RICA,Jerry Bobrow,4.4,20
An Invisible Woman,Anne Strieber,3.09,57
PSI Spies: The True Story of America's Psychic Warfare Program,Jim Marrs,3.98,175
Yellow Stars and Ice,Susan Stewart,4.24,17
With A Yellow Star And A Red Cross: A Doctor In The Lodz Ghetto,Arnold Mostowicz,4.0,6
"Taboo: Sex, Identity and Erotic Subjectivity in Anthropological Fieldwork",Don Kulick,4.03,33
Candles to the Sun,Tennessee Williams,3.84,25
Hold a Candle to the Sun,Mair Unsworth,0.0,0
The Room,Michael   Grey,3.0,14
Justice Society of America: The Return of Hawkman,David S. Goyer,4.03,1071
"Medeas Dance of Vengeance, Op. 23a: Full Score",Samuel Barber,0.0,0
Race Pride and the American Identity,Joseph Tilden Rhea,3.33,6
Black Pride and Black Prejudice,Paul M. Sniderman,3.0,3
Defending the Faith: J. Gresham Machen and the Crisis of Conservative Protestantism in Modern America,D.G. Hart,4.28,111
Defending the Faith,D.G. Hart,4.28,111
The University Gets Religion: Religious Studies in American Higher Education,D.G. Hart,3.5,2
Theological Education in the Evangelical Tradition,R. Albert Mohler Jr.,3.5,2
New Directions in American Religious History,D.G. Hart,4.0,5
Recovering Mother Kirk: The Case for Liturgy in the Reformed Tradition,D.G. Hart,3.85,40
That Old-Time Religion in Modern America: Evangelical Protestantism in the Twentieth Century,D.G. Hart,3.82,71
Courting Disaster: The Supreme Court and the Unmaking of American Law,Martin Garbus,3.6,10
The Unmaking of the American Working Class,Reg Theriault,4.0,4
Our Own Worst Enemy: The Unmaking of American Foreign Policy,I.M. Destler,3.25,4
After Whiteness: Unmaking an American Majority,Mike Hill,2.89,9
Marketing the American Creed Abroad: Diasporas in the U.S. and Their Homelands,Yossi Shain,2.5,2
Catchpole and the 'f' Words,Barry Foley,4.0,1
"Butterfly Battle (The Magic School Bus Chapter Book, #16)",Joanna Cole,4.45,1965
Butterfly Wishes: A Journal of Your Hopes and Dreams,Bill Zimmerman,5.0,2
"Soul Love: Awakening Your Heart Centers (Soul Life, #1)",Sanaya Roman,4.32,582
The New Perspective: Ten Tools for Self-Transformation,Ron Reynolds,3.5,2
Racial Politics in an Era of Transnational Citizenship: The 1996 'Asian Donorgate' Controversy in Perspective,Michael Chang,4.0,1
Visible Differences: Why Race Will Matter to Americans in the Twenty-First Century,Dominic J. Pulera,0.0,0
So Who's Perfect!: People with Visible Differences Tell Their Own Stories,Dhyan Cassie,0.0,0
High Priestess,David Skibbins,3.5700000000000003,92
Becoming a Life Coach: A Complete Workbook for Therapists,David Skibbins,4.03,32
Working Clean and Sober: A Guide for All Recovering People,David Skibbins,0.0,0
Woza Albert!,Percy Mtwa,3.52,172
Mama's Last Chance,Janet Carr-Dudley,0.0,0
Fanciful Paper Flowers: Creative Techniques for Crafting an Enchanted Garden,Sandra Evertson,3.89,19
Toilet Paper Flowers: A Story for Children about Crohn's Disease,Frank J. Sileo,3.67,6
Creating Lovely Paper-Flower Dolls: Using Kusudama Folding Techniques to Make 3-D Paper Figures,Ikuko Mitsuoka,4.0,2
Hitler's Canary,Sandi Toksvig,3.93,1533
The Way of the Scarlet Pimpernel,Emmuska Orczy,3.81,279
B-17s Over Berlin: Personal Stories from the 95th Bomb Group,Ian Hawkins,4.27,15
"Distant Suffering: Morality, Media and Politics",Luc Boltanski,3.5,38
Personal Effects of the German Soldier in World War II,Chris Mason,4.0,1
Personal Effects,Michael  Bradford,4.0,2
Plays 1,Martin Crimp,4.3,20
The Theatre of Martin Crimp,Aleks Sierz,3.71,7
The Country (Faber Plays),Martin Crimp,3.82,79
The Treatment,Martin Crimp,3.59,41
"Processing, Properties & Applications of Iron Aluminides",Joachim H. Schneibel,0.0,0
Dealing with Clair,Martin Crimp,3.5,16
Socrate le demi-chien: Héraclès,Joann Sfar,3.79,116
Twelve Greeks and Romans Who Changed the World,Carl J. Richard,3.67,78
Backcountry Fly Fishing In Salt Water,Doug Swisher,3.0,2
The Red Badge of Courage,Stephen Crane,3.25,87749
Neutral Ground: New Traditionalism and the American Romance Controversy,Gary Richard Thompson,3.0,1
Introduction to Building Physics,Carl-Eric Hagentoft,2.75,4
Beyond Armageddon: Twenty-One Sermons to the Dead,Walter M. Miller Jr.,3.69,277
Superman: End of the Century,Stuart Immonen,3.16,89
"Cyropaedia Volume 1, books 1-4",Xenophon,4.17,121
Secrets of a Leadership Coach Guidebook,Marshall Goldsmith,2.0,1
Partnering: The New Face of Leadership,Larraine Segil,3.33,3
"The Leader of the Future: New Visions, Strategies and Practices for the Next Era",Frances Hesselbein,3.64,39
The Change Champion's Fieldguide: Strategies and Tools for Leading Change in Your Organization,Louis Carter,4.5,6
The Art and Practice of Leadership Coaching: 50 Top Executive Coaches Reveal Their Secrets,Howard Morgan,3.69,42
Updating!: How to Date Out of Your League,Leil Lowndes,3.01,156
How To Talk to Anybody About Anything: Breaking the Ice With Everyone from Accountants to Zen Buddhists,Leil Lowndes,3.24,49
Nikon D70 Digital Field Guide,David D. Busch,3.97,33
Nikon D50 Digital Field Guide,David D. Busch,3.76,33
How to Be a People Magnet: Finding Friends--And Lovers--And Keeping Them for Life,Leil Lowndes,3.49,1069
Nikon D80 Digital Field Guide,David D. Busch,3.87,70
Mastering Digital Photography (Mastering),David D. Busch,3.93,15
Nikon D200 Digital Field Guide,David D. Busch,3.62,39
Adobe Photoshop CS 2.0: Photographers' Guide,David D. Busch,0.0,0
Die kleine Raupe Nimmersatt,Eric Carle,4.3,381710
All Around Us,Eric Carle,3.79,92
All about Arthur (an Absolutely Absurd Ape),Eric Carle,3.85,27
La souris qui cherche un ami,Eric Carle,3.94,2316
Twelve Tales From Aesop: Retold And Illustrated,Eric Carle,3.52,21
The Last of the Savages,Jay McInerney,3.7,1455
الحرباء الحائرة,اريك كارل,4.23,18145
Meaning in the Visual Arts,Erwin Panofsky,4.14,578
Das kleine Glühwürmchen,Eric Carle,4.16,9664
Shadows: The Depiction of Cast Shadows in Western Art,E.H. Gombrich,3.77,78
Processing of Medical Information in Aging Patients: Cognitive and Human Factors Perspectives,Roger W. Morrell,0.0,0
Cognitive Aging: A Primer,Denise C. Park,3.75,8
Innovation Nation: Canadian Leadership from Java to Jurassic Park,Leonard Brody,2.4,5
I Feel Great and You Will Too!: An Inspiring Journey of Success with Practical Tips on How to Score Big in Life,Pat Croce,3.84,159
The Jim Croce Guitar Songbook: Authentic Guitar Tab,Jim Croce,5.0,1
Do It Now! Journal (Parchment Journals),Pat Croce,5.0,3
Lead or Get Off the Pot!: The Seven Secrets of a Self-Made Leader,Pat Croce,3.91,56
Jim Croce: Time in a Bottle,Ingrid Croce,3.95,20
Education for Justice,Brian A. Wren,4.0,1
The Abingdon Worship Annual 2004: 2004 Edition,Mary J. Scifres,0.0,0
"Blood Feud (Super Bolan, #61)",David   Robbins,4.27,44
Pro .Net Directory Services Programming,Erick Sgarbi,3.0,3
The Simple Art of Fly Fishing,E.L. Vachon,5.0,1
On the Commonwealth,Marcus Tullius Cicero,3.76,249
"British and Japanese Military Leadership in the Far Eastern War, 1941-1945",Brian Bond,3.2,5
The First World War and British Military History,Brian Bond,4.0,1
LOOK TO YOUR FRONT: Studies in The First World War by The British Commission for Military History,Brian Bond,4.33,3
Liddell Hart: A Study Of His Military Thought,Brian Bond,4.33,6
Haig: A Reappraisal 70 Years On,Brian Bond,4.0,6
Image of the People: Gustave Courbet and the 1848 Revolution,T.J. Clark,3.98,62
"The Absolute Bourgeois: Artists and Politics in France, 1848-1851",T.J. Clark,3.91,35
Bastet: Nine Tribes of Twilight (Werewolf: the Apocalypse),Phil Brucato,3.8,306
World of Darkness: Sorcerer,James Estes,3.42,60
Street Fighter: The Storytelling Game,Phil Brucato,3.45,31
Controlling Pests and Diseases,Patricia S. Michalak,4.43,7
"Rodale's Garden Answers: Vegetables, Fruits, and Herbs: At-A-Glance Solutions for Every Gardening Problem",Fern Marshall Bradley,5.0,1
Rodale's Chemical-Free Yard and Garden: The Ultimate Authority on Successful Organic Gardening,Fern Marshall Bradley,3.67,6
The Squampkin Patch: A Nasselrogt Adventure,J.T. Petty,4.09,65
"The Twig Trilogy (Edge Chronicles #4-6): Includes Beyond the Deepwoods, Stormchaser & Midnight Over Sanctaphrax",Paul Stewart,4.46,601
"Painters and Politics in the People's Republic of China, 1949–1979",Julia F. Andrews,4.08,13
Guide to Manhattan 2001 (Not For Tourists,Rob Tallia,0.0,0
Not for Tourists Guide to Los Angeles 2004,American Map Corporation,3.64,28
Not for Tourists Guide to Manhattan 2000 (Not For Tourists),Happy Mazza Media LLC,4.2,5
Not for Tourists Guide to Atlanta,Jane Pirone,4.08,13
Exploring Earth & Life Through Time,Steven M. Stanley,4.0,3
Macroevolution: Pattern and Process,Steven M. Stanley,3.86,7
Extinction,Steven M. Stanley,3.22,9
Earth and Life Through Time—Instructor's Manual,Steven M. Stanley,4.5,2
Living Fossils,Niles Eldredge,0.0,0
Fairest of Them All,Josette Browning,3.61,23
Parody,Simon Dentith,3.7,20
The Bible: a Parody,Samuel  Milner,0.0,0
A Theory of Parody: The Teachings of Twentieth-Century Art Forms,Linda Hutcheon,3.8,95
"Europe's Reformations, 1450-1650: Doctrine, Politics, and Community",James D. Tracy,3.51,53
"The Rise of Merchant Empires: Long Distance Trade in the Early Modern World, 1350-1750",James D. Tracy,3.82,17
City Walls: The Urban Enceinte in Global Perspective,James D. Tracy,3.67,3
Luther and the Modern State in Germany,James D. Tracy,0.0,0
"The Low Countries in the Sixteenth Century: Erasmus, Religion and Politics, Trade and Finance",James D. Tracy,0.0,0
"Religion and the Early Modern State: Views from China, Russia, and the West",James D. Tracy,0.0,0
"Willow Springs (Troublesome Creek, #2)",Jan Watson,4.24,473
The Day After Tomorrow,Sharleen Cooper Cohen,3.5,2
Pussy Willow (Little Golden Storybook),Margaret Wise Brown,3.95,150
Tarot of Transformation: Chart Your Own Course to Healing and Spiritual Awakening,Jasmin Lee Cori,4.38,16
Wonderful Pussy Willows,Jerome Wexler,4.0,2
Why the Willow Weeps,Marshall Izen,3.0,2
The Wind in the Willows,Kenneth Grahame,3.99,172102
The Bride of Willow Creek,Maggie Osborne,3.85,599
The Early Spanish Main,Carl O. Sauer,4.33,9
"Andean Reflections: Letters From Carl O. Sauer While On A South American Trip Under A Grant From The Rockefeller Foundation, 1942",Carl O. Sauer,0.0,0
Sing a Song of Tuna Fish: A Memoir of My Fifth-Grade Year,Esmé Raji Codell,3.65,260
Making PCR: A Story of Biotechnology,Paul Rabinow,3.64,78
A Machine to Make a Future: Biotech Chronicles,Paul Rabinow,4.25,4
Essays on the Anthropology of Reason,Paul Rabinow,3.95,19
The Man Who Invented the Twentieth Century,Robert Lomas,3.97,394
The Secrets of Freemasonry,Robert Lomas,3.45,60
The Second Messiah,Christopher    Knight,3.74,659
Active Wellness (rev. edition): Feel Good for Life,Gayle Reichler,5.0,1
The Hunt is On (Goners),Jamie Simons,4.13,15
"The Sister Knot: Why We Fight, Why We're Jealous, and Why We'll Love Each Other No Matter What",Terri Apter,2.62,69
Disagreement: Politics and Philosophy,Jacques Rancière,4.22,466
The Nights of Labor: The Workers' Dream in Nineteenth-Century France,Jacques Rancière,3.93,70
Percy Bysshe Shelley Eman Poet Lib #44,Percy Bysshe Shelley,4.29,7
Selected Poems Shelley,Percy Bysshe Shelley,3.84,182
Gustave Flaubert,William J. Berg,0.0,0
Civilisation: A Personal View,Kenneth  Clark,4.27,1395
The Art Of Humanism,Kenneth  Clark,3.71,7
100 Details from Pictures in the National Gallery,Kenneth  Clark,4.16,25
"The Peninsular War, 1807-1814: A Concise Military History",Michael Glover,3.73,51
Beowulf,Unknown,3.45,228693
Warfare in the Age of Bonaparte,Michael Glover,3.0,8
"Legacy of Glory: The Bonaparte Kingdom of Spain, 1808-1813",Michael Glover,3.4,5
"Something Old, Something New: Army Leader Development in a Dynamic Environment",Henry A. Leonard,0.0,0
"Reforming Teacher Education: Something Old, Something New",Sheila Nataraj Kirby,0.0,0
Scandalous Weddings,Brenda Joyce,3.5700000000000003,103
Waiting for Love,Rosie Harris,4.27,188
"Carnation, Lily, Lily, Rose: The Story of a Painting",Hugh Brewster,4.24,46
Chevy Chase: A Home Suburb for the Nation's Capital,Elizabeth Jo Lampl,4.0,3
Black Ducks and Salmon Bellies,Craig Mishler,4.0,3
The New Sugar Busters!(r): Revised and Updated Edition,H. Leighton Steward,3.64,861
Sugar Busters! Cut Sugar to Trim Fat,H. Leighton Steward,3.64,861
Blissed Out: the Raptures of Rock,Simon Reynolds,3.95,96
Phil Collins: The World Won't Listen,Suzanne Weaver,4.5,4
"'Isms & 'Ologies: All the Movements, Ideologies and Doctrines That Have Shaped Our World",Arthur Goldwag,3.62,206
Pirateology Guidebook and Model Set,Dugald A. Steer,4.05,1460
Complicities: The Intellectual and Apartheid,Mark Sanders,3.44,9
German Responsibility in the Armenian Genocide: A Review of the Historical Evidence of German Complicity,Vahakn N. Dadrian,4.47,15
From Cooperation to Complicity: Degussa in the Third Reich,Peter Hayes,4.67,3
"Cooperation, Complicity  Conscience: Problems in Healthcare, Science, Law and Public Policy",Helen Watt,4.0,1
I Could Have Danced All Night: The Songs of Lerner and Loewe,Frederick Loewe,0.0,0
The Wordsmiths: Oscar Hammerstein 2nd and Alan Jay Lerner,Stephen Citron,3.5,10
Alan Jay Lerner: A Biography,Edward Jablonski,4.57,7
A Hymn to Him: The Lyrics of Alan Jay Lerner,Alan Jay Lerner,4.12,8
When Wish Replaces Thought,Steven Goldberg,4.06,16
Someday Heaven,Larry Libby,4.21,48
Someday Is Not a Day of the Week,Denise Brennan-Nelson,4.1,81
A Little Help From Above,Saralee Rosenberg,3.37,267
A Concise History of Buddhism,Andrew Skilton,3.69,105
The Claverings,Anthony Trollope,3.95,549
Through The Looking Glass: Women And Borderline Personality Disorder,Dana Becker,3.77,22
"The Healing of Individuals, Families  Nations: Transgenerational Healing  Family Constellations Book 1",John L. Payne,4.29,17
History of Writing,Steven Roger Fischer,3.74,74
A History of the Pacific Islands,Steven Roger Fischer,3.59,32
Sea Glass,Anita Shreve,3.67,24075
Great White Sharks (Wild World),Marie Levine,4.33,3
Nanaue the Shark Man & Other Hawaiian Shark Stories,Emma M. Nakuina,3.67,3
Swimming with Sharks (Adam Sharp #3),George E. Stanley,3.7,27
Sort of Forever,Sally Warner,4.04,461
Steve Moore Mysteries I,Steve Harris,0.0,0
William Barret Travis: A Biography,Archie P. McDonald,4.0,4
The Truants,William Barrett,3.82,22
Watching Babylon: The War in Iraq and Global Visual Culture,Nicholas Mirzoeff,3.43,23
"Hugh MacDonald: Highlander, Jacobite, Bishop",John Watts,0.0,0
Fine Wines and Fish Oil: The Life of Hugh MacDonald Sinclair,Jeanette Ewin,0.0,0
The Musical Madhouse: An English Translation of Berlioz's Les Grotesques de la Musique,Hector Berlioz,4.0,1
A Man Who Made a Difference: Bill Crooks 1924-1997,Hugh Macdonald,4.5,2
The Rising Star of Rusty Nail,Lesley M.M. Blume,3.84,400
American Government: A Complete Coursebook,Ethel Wood,4.5,4
The Immigrants,Nextext,0.0,0
GMAT CAT w/ CD-ROM-- The Best Test Prep for the GMAT CAT,Anita Price Davis,3.0,1
The Essential Vegetarian Cookbook,Murdoch Books,3.81,166
Vegie Food,Rachel  Carter,3.25,12
At End of Day,George V. Higgins,3.74,117
The Mandeville Talent,George V. Higgins,3.55,38
Beowulf: The Movie,Steve Starkey,4.1,31
Seeing Language in Sign: The Work of William C. Stokoe,Jane Maher,3.81,16
Physician: The Life of Paul Beeson,Richard Rapport,4.0,2
The Personal Vision Workbook,Tobin Burgess,3.25,4
A Box of Chocolates: A Collection of Short Stories,Jude Idada,3.33,6
Chocolate Island,Karen Dolby,3.71,42
Ain't I A Woman,bell hooks,4.41,7215
Fredson Bowers & the Irish Wolfhound,Jcc Mays,0.0,0
The Life and Work of Fredson Bowers,G. Thomas Tanselle,5.0,1
Principles of Bibliographical Description,Fredson Bowers,3.96,47
Double Fear and Other Short Stories,John Escott,4.09,11
A Blood-Dimmed Tide: The Battle of the Bulge by the Men Who Fought It (Dell World War II Library),Gerald Astor,4.07,119
Lysistrata,Aristophanes,3.86,34594
The Blood-Dimmed Tide,George Marshall,0.0,0
"The Blood-Dimmed Tide (John Madden, #2)",Rennie Airth,4.0,2464
Babylon 5: Blood Dimmed Tide,Bryan Steele,3.5,2
250 Poems: A Portable Anthology,Peter Schakel,3.89,112
Literature: A Portable Anthology,Janet E. Gardner,3.92,139
Fortune,Diane Stanley,3.8,25
Peter the Great,Diane Stanley,3.95,371
Elena,Diane Stanley,3.77,31
Shaka: King of the Zulus,Diane Stanley,3.81,54
My Boyfriend's Back,Anonymous,0.0,0
My Boyfriend's Back: E-Z Play Today Volume 396,Andy,5.0,1
Boyfriend Training Flash Cards: Put the 'Stud' Back in Studying with These 50 Lessons in Love,Trishelle Ames,0.0,0
Captain Whiz-Bang,Diane Stanley,4.12,25
Texas Neighbors: Grace for New Beginnings Abides in Three Endearing Romances,Debra White Smith,3.7,113
"Brazos Dreamer: The Story of Major Robert S. Neighbors (Texas Legends, Book 5)",Gene Shelton,5.0,2
Red-Hot and Righteous: The Urban Religion of the Salvation Army,Diane Winston,3.86,21
Long Shadows: Veterans' Paths to Peace,David Giffey,4.1,10
Dealing Creatively with Death: A Manual of Death Education and Simple Burial,Ernest Morgan,3.73,15
The Hospice: Development and Administration,Glen Davidson,0.0,0
"Facing Death: images, insights, and interventions : a handbook for educators, healthcare professionals, and counselors",Sandra L. Bertman,4.2,5
"A Governor's Education on Death Row: Public Justice, Private Mercy",Edmund G. Brown,4.5,2
"The False Mirror (The Damned, #2)",Alan Dean Foster,3.75,832
Afterimage/Aftershock,Kristine Kathryn Rusch,3.0,5
Afterimage,Jay Brandon,3.52,52
Flipchartart,Elke Meyer,0.0,0
"Halloween Night II (Halloween Night, #2)",R.L. Stine,3.56,529
Chicken Soup for the Teen Soul: Real Stories by Real Teens(Chicken Soup for the Soul),Jack Canfield,3.87,439
"Under the Magician's Spell (Give Yourself Goosebumps, #7)",R.L. Stine,3.85,800
"Three Shocking Tales of Terror (Goosebumps Triple Header, #2)",R.L. Stine,3.66,85
"Book of Thunder (Diadem, Worlds of Magic, #4)",John Peel,4.11,420
"Book of Signs (Diadem, Worlds of Magic #2)",John Peel,4.06,562
ix Visual Exercises for Technical Communication,Cheryl E. Ball,3.6,5
Technical Writer's Companion,Gerald J. Alred,3.86,261
The Fragile Champion: Doris Brown Who Always Ran the Extra Mile,Ken Foreman,3.0,3
Pierced for our Transgressions: Rediscovering the glory of penal substitution,Steve Jeffery,4.34,300
Space Wars,Steve Ditko,3.76,21
Carly and the Crab Holes,Natalie Williams,0.0,0
"Search The Dark (Inspector Ian Rutledge, #3)",Charles Todd,4.01,4954
Lois Hole's Bedding Plant Favorites,Lois Hole,4.24,41
The Fire Within,Lynda Trent,3.29,28
Ht Run Jew Hsehld,Blu Greenberg,0.0,0
Dragon Fantastic,Rosalind M. Greenberg,3.77,125
"Carolyn G. Hart Presents Malice Domestic (Malice Domestic, #4)",Carolyn G. Hart,3.71,86
Southside Sluggers: Great Baseball Card Hunt,Daniel A. Greenberg,0.0,0
Horse Fantastic,Martin Harry Greenberg,3.83,444
"Icefire (The Last Dragon Chronicles, #2)",Chris d'Lacey,3.91,23644
"Essentially Speaking: Feminism, Nature and Difference",Diana Fuss,3.81,86
The Dark Zone: Exploring the Secret World of Caves,Stephen P. Kramer,5.0,1
Gerrit and His Dog,Various,4.67,3
Fuzzy Mathematical Approach to Pattern Recognition,Sankar K. Pal,0.0,0
Trade What You See: How to Profit from Pattern Recognition,Larry Pesavento,3.86,76
Matrix Methods in Data Mining and Pattern Recognition,Lars Eldén,4.5,8
Optimal Routing Design: Techniques for optimizing large-scale IP routing operation and managing network growth (Networking Technology),Russ White,4.63,19
Is-Is: Deployment in IP Networks,Russ White,4.6,5
"Days of Awe: A Treasury of Jewish Wisdom for Reflection, Repentance, and Renewal  on the High  Holy Days",S.Y. Agnon,4.08,53
Thirty-Day Devotions for the Holy Souls,Susan Tassone,4.6,47
Gates of Awe,Robert Orkand,2.5,2
An Introduction to the Theory of Random Signals and Noise,Wilbur B. Davenport,4.33,3
Detection of Signals in Noise,Robert N. McDonough,0.0,0
Introduction to Random Signals and Noise,Wim van Etten,0.0,0
"Radar-Sonar Signal Processing and Gaussian Signals in Noise (Detection, Estimation, and Modulation Theory, Part III)",Harry L. Van Trees,4.67,6
Plain Beautiful: The Life of Peggy Ann Garner,Sandra Grabman,3.33,12
The Wake Forest Book of Irish Women's Poetry: 1967–2000,Peggy O'Brien,4.35,20
Writing Lough Derg: From William Carleton to Seamus Heaney,Peggy O'Brien,3.25,4
Sudden Thaw,Peggy O'Brien,2.5,2
Give Me a Sign!: What Pictograms Tell Us Without Words,Tiphaine Samoyault,4.0,1
Tabby,Aliki,3.76,17
First Snow,Emily Arnold McCully,3.25,108
"Sing, Pierrot, Sing: A Picture Book in Mime",Tomie dePaola,3.84,51
Nietzsche,Richard Schacht,3.96,24
Selections (Great Philosophers),Friedrich Nietzsche,3.8,10
Nietzsche's Postmoralism: Essays on Nietzsche's Prelude to Philosophy's Future,Richard Schacht,3.25,4
"Karen's Tuba (Baby-Sitters Little Sister, #37)",Ann M. Martin,3.54,134
Classic Christmas Stories: Sixteen Timeless Yuletide Tales,Julia Livshin,3.83,6
Beyond Their Years: Stories of Sixteen Civil War Children,Scotti Cohn,3.88,69
Princesses: Sixteen Stories About Princesses,Sally Patrick Johnson,4.45,44
"Kristy and the Cat Burglar (Baby-Sitters Club Mystery, #36)",Ann M. Martin,3.67,189
"Stacey and the Stolen Hearts (Baby-Sitters Club Mystery, #33)",Ann M. Martin,3.64,193
"The Avalon Collection, Quest for Magic, Books 1 - 3",Rachel Roberts,4.44,216
"Trial By Fire (Avalon: Web of Magic, #6)",Rachel Roberts,4.24,1117
We Are Not Babysitters: Family Childcare Providers Redefine Work and Care,Mary C. Tuominen,5.0,1
International Parental Child Abduction,Anne-Marie Hutchinson,0.0,0
"Circles in the Stream (Avalon: Web of Magic, #1)",Rachel Roberts,4.09,2912
God Uses Cracked Pots,Patsy Clairmont,4.17,275
"Cute, Furry, and Deadly: Diseases You Can Catch from Your Pet!",Rachel  Roberts,2.5,2
Cracked: Recovering After Traumatic Brain Injury,Lynsey Calderwood,4.29,14
The Assassination of Robert F. Kennedy (American Moments),Rachel A. Koestler-Grack,0.0,0
"In the Matter of J. Robert Oppenheimer: Politics, Rhetoric, and Self-Defense",Rachel L. Holloway,0.0,0
"The Avalon Collection: Web of Magic, Books 1-3",Rachel Roberts,4.44,216
Ielts Foundation,Rachel  Roberts,3.47,17
Cracked,Michele Martin Bossley,3.71,24
Cracked Dreams,Michael Daniel Baptiste,4.33,3
"Cracked Coverage: Television News, The Anti-Cocaine Crusade, and the Reagan Legacy",Jimmie L. Reeves,3.8,5
Sport (Harriet the Spy #3),Louise Fitzhugh,3.74,857
How to Become Popular Without Losing Your Mind / Circles in the Stream / The Power of Two,Kristen Kemp,3.78,23
Cry Wolf,Doug Crill,3.2,5
Cry Wolf: The Psychology of False Alarms,S. Breznitz,0.0,0
Re-Mapping Exile: Realities and Metaphors in Irish Literature and History,Michael Boss,0.0,0
The Body and Desire in Contemporary Irish Poetry,Scott Brewster,3.83,6
"You Can Teach Someone to Read: A How-To Book for Friends, Parents and Teachers, Step by Step Detailed Directions to Provide Anyone the Necessary Tools to Easily Teach Someone to Read",Lorraine Peoples,3.8,5
Basic Black: Home Training for Modern Times,Karen Grigsby Bates,4.03,37
Having It All?: Black Women and Success,Veronica Chambers,3.83,29
"King in Exile: James II: Warrior, King and Saint, 1689-1701",John Callow,4.3,10
Savoy,Eugene O'Brien,0.0,0
The Question of Irish Identity in the Writings of William Butler Yeats and James Joyce,Eugene O'Brien,0.0,0
Eden,Eugene O'Brien,3.93,15
"Examining Irish Nationalism in the Context of Literature, Culture and Religion: A Study of the Epistemological Structure of Nationalism",Eugene O'Brien,0.0,0
Cold Comfort Farm,Stella Gibbons,3.91,40592
Clementine Hunter: American Folk Artist,James L. Wilson,4.2,5
Collective Political Violence: An Introduction to the Theories and Cases of Violent Conflicts,Earl Conteh-Morgan,4.0,10
State Organized Terror: The Case Of Violent Internal Repression,P. Timothy Bushnell,0.0,0
Laughing Till It Hurts: The Complete Life and Career of Carol Burnett,J. Randy Taraborrelli,3.83,24
"Leechcraft: Early English Charms, Plant-Lore and Healing",Stephen Pollington,4.49,63
First Steps in Old English,Stephen Pollington,4.37,41
Stealing Benefacio's Roses,Martin Prechtel,4.72,60
"Long Life, Honey in the Heart",Martin Prechtel,4.53,181
Scandals in the House of Birds: Shamans and Priests on Lake Atitlan,Nathaniel Tarn,4.44,9
Coriolanus,William Shakespeare,3.72,12402
The World's Most Infamous Murders,Nigel Blundell,3.5700000000000003,230
The Incredible Music Machine,Russell Miller,4.0,1
"Arthur Preuss, Journalist and Voice of German and Conservative Catholics in America, 1871-1934",Rory T. Conley,0.0,0
Swiss Family Robinson (Bring the Classics to Life: Level 1),Mike Guillot,3.0,2
Biltmore Estate (Images of America: North Carolina),Ellen Erwin Rickman,4.01,104
The Cambridge Introduction to Harriet Beecher Stowe,Sarah   Robbins,3.67,3
Sheridan: The Life And Wars Of General Phil Sheridan,Roy Morris Jr.,3.83,35
Photographic Case Studies in Skin & Skin Structure Disease: Diagnostic Tests for the Practitioner,Thomas P. Habif,0.0,0
Enfermedades de la Piel: Diagn�stico Y Tratamiento: Diagnostico Y Tratamiento,Thomas P. Habif,4.19,32
Photographic Case Studies in General Medicine: Diagnostic Tests for the Practitioner,Thomas P. Habif,0.0,0
Deadworld: Requiem for the World,Gary Reed,3.58,19
Bewnans Ke: The Life of St. Ke,Graham C.G. Thomas,4.25,4
Anne Of Avonlea,L.M. Montgomery,4.23,134185
Rolling Stone: The Complete Covers,Fred Woodward,4.07,57
Life of Saint Nicholas,R.O. Blechman,3.22,51
